epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3863,1.00378,5.20585,1.07768,0.02592,0.03353,0.02009,0.01737,0.8217,4.31527,0.90969,8.58403e-05,8.58403e-05,8.58403e-05
2,28.7101,0.9558,4.28378,1.037,0.72714,0.08302,0.07712,0.06466,0.86858,3.28211,0.92409,0.00017136,0.00017136,0.00017136
3,39.5537,0.95734,3.70189,1.02282,0.68293,0.11399,0.12815,0.0984,0.86312,2.60051,0.95466,0.00025471,0.00025471,0.00025471
4,50.2095,0.93498,3.1653,1.01849,0.72728,0.17009,0.18659,0.15018,0.86368,2.11395,0.96056,0.000253236,0.000253236,0.000253236
5,61.0848,0.90398,2.88932,1.00286,0.58631,0.22075,0.20175,0.1623,0.83615,2.0449,0.95082,0.000249981,0.000249981,0.000249981
6,72.0003,0.86938,2.66533,0.98334,0.46847,0.33543,0.26785,0.21264,0.80427,2.08388,0.93264,0.000246727,0.000246727,0.000246727
7,82.7264,0.83841,2.47996,0.97579,0.61551,0.21662,0.279,0.21589,0.82417,1.95125,0.97709,0.000243472,0.000243472,0.000243472
8,93.3285,0.83894,2.34538,0.98106,0.62457,0.27342,0.3182,0.24655,0.82083,1.70548,0.93936,0.000240218,0.000240218,0.000240218
9,103.913,0.84097,2.23249,0.97864,0.58905,0.34102,0.3569,0.27238,0.82895,1.59699,0.9342,0.000236963,0.000236963,0.000236963
10,114.566,0.81868,2.06874,0.96152,0.66104,0.29793,0.3557,0.28518,0.78317,1.62584,0.92257,0.000233708,0.000233708,0.000233708
11,125.199,0.80624,2.0321,0.95481,0.54529,0.39246,0.38287,0.30522,0.75925,1.50907,0.91586,0.000230454,0.000230454,0.000230454
12,135.846,0.79789,1.99212,0.96136,0.57167,0.37577,0.40069,0.31824,0.74298,1.47495,0.90246,0.000227199,0.000227199,0.000227199
13,146.483,0.78104,1.93678,0.96127,0.52753,0.51466,0.44524,0.36,0.76958,1.38667,0.9091,0.000223945,0.000223945,0.000223945
14,157.063,0.77723,1.81906,0.94528,0.48592,0.46307,0.44249,0.34538,0.75863,1.33955,0.90939,0.00022069,0.00022069,0.00022069
15,167.635,0.7622,1.82117,0.93078,0.57848,0.46494,0.45863,0.36576,0.75271,1.26833,0.90399,0.000217435,0.000217435,0.000217435
16,178.287,0.75872,1.70079,0.93019,0.45547,0.43927,0.46238,0.37258,0.7287,1.35878,0.91649,0.000214181,0.000214181,0.000214181
17,188.798,0.77156,1.68903,0.93944,0.42811,0.47346,0.44233,0.34818,0.78872,1.30505,0.9272,0.000210926,0.000210926,0.000210926
18,199.393,0.73382,1.64296,0.93895,0.47793,0.4688,0.4579,0.36701,0.74523,1.27236,0.91862,0.000207671,0.000207671,0.000207671
19,210.116,0.77585,1.57006,0.94378,0.61618,0.44001,0.49201,0.39686,0.72157,1.2139,0.8917,0.000204417,0.000204417,0.000204417
20,222.437,0.74384,1.58999,0.92398,0.60754,0.48631,0.49972,0.39947,0.72909,1.20255,0.91434,0.000201162,0.000201162,0.000201162
21,235.834,0.72937,1.54028,0.94051,0.51355,0.50401,0.50833,0.40364,0.71439,1.21108,0.90703,0.000197907,0.000197907,0.000197907
22,248.613,0.70113,1.41912,0.93034,0.61292,0.44672,0.50546,0.4051,0.72543,1.19491,0.90594,0.000194653,0.000194653,0.000194653
23,261.163,0.71565,1.48931,0.92478,0.54658,0.48942,0.5094,0.41933,0.71664,1.19608,0.90149,0.000191398,0.000191398,0.000191398
24,273.817,0.69784,1.42266,0.92266,0.51111,0.54266,0.51699,0.41725,0.73088,1.1669,0.90414,0.000188144,0.000188144,0.000188144
25,286.046,0.70978,1.40596,0.93081,0.54983,0.51806,0.5199,0.42742,0.72618,1.13962,0.90107,0.000184889,0.000184889,0.000184889
26,298.083,0.69104,1.38334,0.91091,0.577,0.49594,0.52184,0.41346,0.71638,1.12121,0.90004,0.000181634,0.000181634,0.000181634
27,310.424,0.67846,1.33915,0.92431,0.60226,0.49974,0.5312,0.42802,0.69726,1.13289,0.89058,0.00017838,0.00017838,0.00017838
28,322.573,0.70025,1.2996,0.91124,0.64456,0.43779,0.52157,0.41382,0.70984,1.16967,0.89047,0.000175125,0.000175125,0.000175125
29,334.732,0.71143,1.37014,0.92588,0.68874,0.49706,0.55231,0.44429,0.70493,1.09164,0.89211,0.000171871,0.000171871,0.000171871
30,347.006,0.7071,1.3032,0.93898,0.58742,0.50877,0.54676,0.43243,0.70018,1.14279,0.88932,0.000168616,0.000168616,0.000168616
31,359.119,0.67315,1.2151,0.91595,0.61198,0.54324,0.55029,0.437,0.70394,1.10394,0.89183,0.000165361,0.000165361,0.000165361
32,371.261,0.68845,1.2429,0.92911,0.75897,0.43516,0.5265,0.42514,0.70621,1.09749,0.89381,0.000162107,0.000162107,0.000162107
33,382.217,0.67044,1.21106,0.92317,0.49828,0.55469,0.53585,0.42765,0.69335,1.05794,0.88673,0.000158852,0.000158852,0.000158852
34,392.768,0.6771,1.16224,0.91488,0.57673,0.5127,0.56862,0.45521,0.69251,1.0731,0.88759,0.000155597,0.000155597,0.000155597
35,403.276,0.66363,1.19379,0.92155,0.64825,0.52473,0.56579,0.45682,0.69025,1.06662,0.88668,0.000152343,0.000152343,0.000152343
36,413.799,0.64201,1.35758,0.89187,0.51131,0.56525,0.55695,0.45156,0.68796,1.03956,0.88328,0.000149088,0.000149088,0.000149088
37,424.475,0.68118,1.15423,0.91447,0.57775,0.52545,0.55993,0.45425,0.68297,1.04928,0.89117,0.000145834,0.000145834,0.000145834
38,435.039,0.64501,1.08092,0.91855,0.67372,0.48491,0.5481,0.4438,0.69238,1.02858,0.88674,0.000142579,0.000142579,0.000142579
39,445.548,0.64364,1.09927,0.91289,0.64092,0.4754,0.55153,0.45466,0.68003,1.05705,0.88667,0.000139324,0.000139324,0.000139324
40,456.052,0.65754,1.12845,0.90644,0.55868,0.53494,0.58248,0.46866,0.67372,1.02044,0.8857,0.00013607,0.00013607,0.00013607
